List,Publication,Title,First Author,Year,Category,Sex,Race,Hispanic,Born,Age Estimated
16 Overall Favorite Books of 2016,Brain Pickings,The Course of Love: A Novel,Alain de Botton,2016,Fiction,Male,White,FALSE,1969,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Caroline Paul,2016,Non-Fiction,Female,White,FALSE,1963,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly,2016,Non-Fiction,Female,Black,FALSE,1969,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,Becoming Wise: An Inquiry into the Mystery and Art of Living,Krista Tippett,2016,Non-Fiction,Female,White,FALSE,1960,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,The Abundance: Narrative Essays Old and New,Annie Dillard,2016,Non-Fiction,Female,White,FALSE,1945,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
16 Overall Favorite Books of 2016,Brain Pickings,Pinocchio: The Origin Story,Alessandro Sanna,2016,Fiction,Male,White,FALSE,1975,FALSE
The 25 Best Books of 2016,Esquire,How to Be a Person in the World: Ask Polly's Guide Through the Paradoxes of Modern Life,Heather Havrilesky,2016,Non-Fiction,Female,White,FALSE,1970,TRUE
The 25 Best Books of 2016,Esquire,Shrill: Notes from a Loud Woman,Lindy West,2016,Non-Fiction,Female,White,FALSE,1982,FALSE
The 25 Best Books of 2016,Esquire,The Girls,Emma Cline,2016,Fiction,Female,White,FALSE,1989,FALSE
The 25 Best Books of 2016,Esquire,The Red Parts: Autobiography of a Trial,Maggie Nelson,2016,Non-Fiction,Female,White,FALSE,1973,FALSE
The 25 Best Books of 2016,Esquire,What Is Not Yours Is Not Yours,Helen Oyeyemi,2016,Fiction,Female,Black,FALSE,1984,FALSE
The 25 Best Books of 2016,Esquire,Seven Brief Lessons on Physics,Carlo Rovelli,2016,Non-Fiction,Male,White,FALSE,1956,FALSE
The 25 Best Books of 2016,Esquire,Queen of the Night,Alexander Chee,2016,Fiction,Male,Mixed,FALSE,1967,TRUE
The 25 Best Books of 2016,Esquire,Rich and Pretty,Rumaan Alam,2016,Fiction,Male,White,FALSE,1978,TRUE
The 25 Best Books of 2016,Esquire,Lust & Wonder: A Memoir,Augusten Burroughs,2016,Non-Fiction,Male,White,FALSE,1965,FALSE
The 25 Best Books of 2016,Esquire,Proxies: Essays Near Knowing,Brian Blanchfield,2016,Non-Fiction,Male,White,FALSE,1973,FALSE
The 25 Best Books of 2016,Esquire,Problems,Jade Sharma,2016,Fiction,Female,Asian,FALSE,1983,TRUE
The 25 Best Books of 2016,Esquire,Party of One,Dave Holmes,2016,Non-Fiction,Male,White,FALSE,1971,FALSE
The 25 Best Books of 2016,Esquire,What Belongs to You: A Novel,Garth Greenwell,2016,Fiction,Male,White,FALSE,1978,FALSE
The 25 Best Books of 2016,Esquire,Seinfeldia,Jennifer Keishin Armstrong,2016,Non-Fiction,Female,White,FALSE,1975,TRUE
The 25 Best Books of 2016,Esquire,The Association of Small Bombs,Karan Mahajan,2016,Fiction,Male,Asian,FALSE,1984,FALSE
The 25 Best Books of 2016,Esquire,Sweetbitter,Stephanie Danler,2016,Fiction,Female,White,FALSE,1984,TRUE
The 25 Best Books of 2016,Esquire,Born a Crime: Stories from a South African Childhood,Trevor Noah,2016,Non-Fiction,Male,Black,FALSE,1984,FALSE
The 25 Best Books of 2016,Esquire,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The 25 Best Books of 2016,Esquire,Victoria: The Queen: An Intimate Biography of the Woman Who Ruled an Empire,Julia Baird,2016,Non-Fiction,Female,White,FALSE,1971,TRUE
The 25 Best Books of 2016,Esquire,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
The 25 Best Books of 2016,Esquire,"The Return: Fathers, Sons, and the Land in Between",Hisham Matar,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
The 25 Best Books of 2016,Esquire,Innocents and Others,Dana Spiotta,2016,Fiction,Female,White,FALSE,1966,FALSE
The 25 Best Books of 2016,Esquire,Grief Is the Thing With Feathers,Max Porter,2016,Fiction,Male,White,FALSE,1981,FALSE
The 25 Best Books of 2016,Esquire,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The 25 Best Books of 2016,Esquire,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
These are the Best Books of 2016,GQ,Version Control,Dexter Palmer,2016,Fiction,Male,Black,FALSE,1975,TRUE
These are the Best Books of 2016,GQ,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
These are the Best Books of 2016,GQ,What Belongs to You,Garth Greenwell,2016,Fiction,Male,White,FALSE,1978,FALSE
These are the Best Books of 2016,GQ,The Mothers,Brit Bennett,2016,Fiction,Female,Black,FALSE,1990,FALSE
These are the Best Books of 2016,GQ,The Sport of Kings,C.E. Morgan,2016,Fiction,Female,White,FALSE,1976,FALSE
The 33 Best Books of 2016,Elle,American Housewife,Helen Ellis,2016,Fiction,Female,White,FALSE,1970,FALSE
The 33 Best Books of 2016,Elle,"Fine, Fine, Fine, Fine, Fine",Diane Williams,2016,Fiction,Female,White,FALSE,1946,FALSE
The 33 Best Books of 2016,Elle,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
The 33 Best Books of 2016,Elle,The Portable Veblen,Elizabeth McKenzie,2016,Fiction,Female,White,FALSE,1958,FALSE
The 33 Best Books of 2016,Elle,The Vegetarian,Han Kang,2016,Fiction,Female,Asian,FALSE,1970,FALSE
The 33 Best Books of 2016,Elle,Originals,Adam Grant,2016,Non-Fiction,Male,White,FALSE,1981,FALSE
The 33 Best Books of 2016,Elle,Perfect Days,Raphael Montes,2016,Fiction,Male,White,TRUE,1990,FALSE
The 33 Best Books of 2016,Elle,Women Who Read Are Dangerous,Stefan Bollman,2016,Non-Fiction,Male,White,FALSE,1958,FALSE
The 33 Best Books of 2016,Elle,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,2016,Non-Fiction,Female,White,FALSE,1977,FALSE
The 33 Best Books of 2016,Elle,What Is Not Yours Is Not Yours,Helen Oyeyemi,2016,Fiction,Female,Black,FALSE,1984,FALSE
The 33 Best Books of 2016,Elle,Lab Girl,Hope Jahren,2016,Non-Fiction,Female,White,FALSE,1969,FALSE
The 33 Best Books of 2016,Elle,Sweetbitter,Stephanie Danler,2016,Fiction,Female,White,FALSE,1984,TRUE
The 33 Best Books of 2016,Elle,Imagine Me Gone,Adam Haslett,2016,Fiction,Male,White,FALSE,1970,FALSE
The 33 Best Books of 2016,Elle,In the Darkroom,Susan Faludi,2016,Non-Fiction,Female,White,FALSE,1959,FALSE
The 33 Best Books of 2016,Elle,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The 33 Best Books of 2016,Elle,The Girls,Emma Cline,2016,Fiction,Female,White,FALSE,1989,FALSE
The 33 Best Books of 2016,Elle,Pond,Claire-Louise Bennett,2016,Fiction,Female,White,FALSE,1979,TRUE
The 33 Best Books of 2016,Elle,Heroes of the Frontier,Dave Eggers,2016,Fiction,Male,White,FALSE,1970,FALSE
The 33 Best Books of 2016,Elle,Barkskins,Annie Proulx,2016,Fiction,Female,White,FALSE,1935,FALSE
The 33 Best Books of 2016,Elle,You Will Know Me,Megan Abbott,2016,Fiction,Female,White,FALSE,1971,FALSE
The 33 Best Books of 2016,Elle,The Fire This Time,Jesmyn Ward,2016,Non-Fiction,Female,Black,FALSE,1977,FALSE
The 33 Best Books of 2016,Elle,Another Brooklyn,Jacqueline Woodson,2016,Fiction,Female,Black,FALSE,1963,FALSE
The 33 Best Books of 2016,Elle,I'm Supposed to Protect You From All This,Nadja Spiegelman,2016,Non-Fiction,Female,White,FALSE,1987,FALSE
The 33 Best Books of 2016,Elle,"Slow Days, Fast Company: The World, The Flesh, and L.A.",Eve Babitz,2016,Fiction,Female,White,FALSE,1943,FALSE
The 33 Best Books of 2016,Elle,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 33 Best Books of 2016,Elle,Mischling,Affinity Konar,2016,Fiction,Female,White,FALSE,1978,FALSE
The 33 Best Books of 2016,Elle,The Mothers,Brit Bennett,2016,Fiction,Female,Black,FALSE,1990,FALSE
The 33 Best Books of 2016,Elle,The Wangs vs. the World,Jade Chang,2016,Fiction,Female,Asian,FALSE,1978,TRUE
The 33 Best Books of 2016,Elle,The Trespasser,Tana French,2016,Fiction,Female,White,FALSE,1973,FALSE
The 33 Best Books of 2016,Elle,Pull Me Under,Kelly Luce,2016,Fiction,Female,White,FALSE,1984,TRUE
The 33 Best Books of 2016,Elle,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The 33 Best Books of 2016,Elle,A Woman Looking at Men Looking at Women,Siri Hustvedt,2016,Non-Fiction,Female,White,FALSE,1955,FALSE
The 33 Best Books of 2016,Elle,Whatever Happened to Interracial Love?,Kathleen Collins,2016,Fiction,Female,Black,FALSE,1942,FALSE
Best 2016 Books,Publishers Weekly,Barkskins,Annie Proulx,2016,Fiction,Female,White,FALSE,1935,FALSE
Best 2016 Books,Publishers Weekly,What Belongs to You,Garth Greenwell,2016,Fiction,Male,White,FALSE,1978,FALSE
Best 2016 Books,Publishers Weekly,Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,Heather Ann Thompson,2016,Non-Fiction,Female,White,FALSE,1966,TRUE
Best 2016 Books,Publishers Weekly,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
Best 2016 Books,Publishers Weekly,Guilty Thing: A Life of Thomas De Quincey,Frances Wilson,2016,Non-Fiction,Female,White,FALSE,1964,FALSE
Best 2016 Books,Publishers Weekly,A Kingdom of Their Own: The Family Karzai and the Afghan Disaster,Joshua Partlow,2016,Non-Fiction,Male,White,FALSE,1977,TRUE
Best 2016 Books,Publishers Weekly,Ninety-Nine Stories of God,Joy Williams,2016,Fiction,Female,White,FALSE,1944,FALSE
Best 2016 Books,Publishers Weekly,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
Best 2016 Books,Publishers Weekly,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
Best 2016 Books,Publishers Weekly,The Vegetarian,Han Kang,2016,Fiction,Female,Asian,FALSE,1970,FALSE
The 10 Best Books of 2016,Washington Post,Commonwealth,Ann Patchett,2016,Fiction,Female,White,FALSE,1963,FALSE
The 10 Best Books of 2016,Washington Post,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
The 10 Best Books of 2016,Washington Post,The Gene: An Intimate History,Siddhartha Mukherjee,2016,Non-Fiction,Male,Asian,FALSE,1970,FALSE
The 10 Best Books of 2016,Washington Post,News of the World,Paulette Jiles,2016,Fiction,Female,White,FALSE,1943,FALSE
The 10 Best Books of 2016,Washington Post,"The Return: Fathers, Sons, and the Land in Between",Hisham Matar,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
The 10 Best Books of 2016,Washington Post,Rogue Heroes,Ben Macintyre,2016,Non-Fiction,Male,White,FALSE,1963,FALSE
The 10 Best Books of 2016,Washington Post,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
The 10 Best Books of 2016,Washington Post,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The 10 Best Books of 2016,Washington Post,The Trespasser,Tana French,2016,Fiction,Female,White,FALSE,1973,FALSE
The 10 Best Books of 2016,Washington Post,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,Underground Airlines,Ben Winters,2016,Fiction,Male,White,FALSE,1976,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,Here I Am,Jonathan Safran Foer,2016,Fiction,Male,White,FALSE,1977,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,The Wonder,Emma Donoghue,2016,Fiction,Female,White,FALSE,1969,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,2016,Non-Fiction,Female,White,FALSE,1977,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,"Eleanor Roosevelt: The War Years And After, 1939-1962",Blanche Wiesen Cook,2016,Non-Fiction,Female,White,FALSE,1941,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,Eyes On The Street: The Life Of Jane Jacobs,Robert Kanigel,2016,Non-Fiction,Male,White,FALSE,1946,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,Born to Run,Bruce Springsteen,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
The 10 most important books of 2016,LA Times,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 10 most important books of 2016,LA Times,"Trump Revealed: An American Journey of Ambition, Ego, Money, and Power",Michael Kranish,2016,Non-Fiction,Male,White,FALSE,1957,FALSE
The 10 most important books of 2016,LA Times,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
The 10 most important books of 2016,LA Times,The Sun is Also a Star,Nicola Yoon,2016,Fiction,Female,Black,FALSE,1972,FALSE
The 10 most important books of 2016,LA Times,Shrill: Notes from a Loud Woman,Lindy West,2016,Non-Fiction,Female,White,FALSE,1982,FALSE
The 10 most important books of 2016,LA Times,The White Donkey: Terminal Lance,Maximilian Uriarte,2016,Fiction,Male,White,TRUE,1986,FALSE
The 10 most important books of 2016,LA Times,City of Thorns: Nine Lives in the World’s Largest Refugee Camp,Ben Rawlence,2016,Non-Fiction,Male,White,FALSE,1983,TRUE
The 10 most important books of 2016,LA Times,Born to Run,Bruce Springsteen,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
The 10 most important books of 2016,LA Times,Frantumaglia: A Writer's Journey,Elena Ferrante,2016,Fiction,Female,White,FALSE,1943,FALSE
The 10 most important books of 2016,LA Times,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,The Fractured Republic: Renewing America’s Social Contract in the Age of Individualism,Yuval Levin,2016,Non-Fiction,Male,White,FALSE,1977,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2015,Non-Fiction,Male,White,FALSE,1976,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,"American Heiress: The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst",Jeffrey Toobin,2016,Non-Fiction,Male,White,FALSE,1960,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,Thanksgiving: The Holiday at the Heart of the American Experience,Melanie Kirkpatrick,2016,Non-Fiction,Female,White,FALSE,1952,TRUE
"2016 Books: A President Leaves, but the Reading Continues",National Review,The New Philistines (Provocations),Sohrab Ahmari,2016,Non-Fiction,Male,White,FALSE,1985,TRUE
"2016 Books: A President Leaves, but the Reading Continues",National Review,"Alter Egos: Hillary Clinton, Barack Obama, and the Twilight Struggle Over American Power",Mark Landler,2016,Non-Fiction,Male,White,FALSE,1965,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,Let There Be Water: Israel's Solution for a Water-Starved World,Seth M. Siegel,2015,Non-Fiction,Male,White,FALSE,1953,FALSE
"2016 Books: A President Leaves, but the Reading Continues",National Review,No Child Left Alone: Getting the Government Out of Parenting,Abby W. Schachter,2016,Non-Fiction,Female,White,FALSE,1970,TRUE
Best books of 2016,Boston Globe,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
Best books of 2016,Boston Globe,LaRose,Louise Erdrich,2016,Fiction,Female,Mixed,FALSE,1954,FALSE
Best books of 2016,Boston Globe,In the Café of Lost Youth,Patrick Modiano,2016,Fiction,Male,White,FALSE,1945,FALSE
Best books of 2016,Boston Globe,Barkskins,Annie Proulx,2016,Fiction,Female,White,FALSE,1935,FALSE
Best books of 2016,Boston Globe,Queen of the Night,Alexander Chee,2016,Fiction,Male,Mixed,FALSE,1967,TRUE
Best books of 2016,Boston Globe,The Fox Was Ever the Hunter,Herta Müller,2016,Fiction,Female,White,FALSE,1953,FALSE
Best books of 2016,Boston Globe,The Year of the Runaways,Sunjeev Sahota,2016,Fiction,Male,Asian,FALSE,1981,FALSE
Best books of 2016,Boston Globe,My Name Is Lucy Barton,Elizabeth Strout,2016,Fiction,Female,White,FALSE,1956,FALSE
Best books of 2016,Boston Globe,Our Young Man,Edmund White,2016,Fiction,Male,White,FALSE,1940,FALSE
Best books of 2016,Boston Globe,The Story of a Brief Marriage,Anuk Arudpragasam,2016,Fiction,Male,Asian,FALSE,1988,FALSE
Best books of 2016,Boston Globe,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
Best books of 2016,Boston Globe,All the Single Ladies: Unmarried Women and the Rise of an Independent Nation,Rebecca Traister,2016,Non-Fiction,Female,White,FALSE,1975,FALSE
Best books of 2016,Boston Globe,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,2016,Non-Fiction,Female,White,FALSE,1962,TRUE
Best books of 2016,Boston Globe,Black Elk: The Life of an American Visionary,Joe Jackson,2016,Non-Fiction,Male,White,FALSE,1967,TRUE
Best books of 2016,Boston Globe,Blood at the Root: A Racial Cleansing in America,Patrick Phillips,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
Best books of 2016,Boston Globe,Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,Heather Ann Thompson,2016,Non-Fiction,Female,White,FALSE,1966,TRUE
Best books of 2016,Boston Globe,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
Best books of 2016,Boston Globe,"Imbeciles: The Supreme Court, American Eugenics, and the Sterilization of Carrie Buck",Adam Cohen,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
Best books of 2016,Boston Globe,Kill ’Em and Leave: Searching for James Brown and the American Soul,James McBride,2016,Non-Fiction,Male,Black,FALSE,1957,FALSE
Best books of 2016,Boston Globe,Mad Enchantment: Claude Monet and the Painting of the Water Lilies,Ross King,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
Best books of 2016,Boston Globe,Moscow Nights: The Van Cliburn Story: How One Man and His Piano Transformed the Cold War,Nigel Cliff,2016,Non-Fiction,Male,White,FALSE,1969,FALSE
Best books of 2016,Boston Globe,On Trails: An Exploration,Robert Moor,2016,Non-Fiction,Male,White,FALSE,1987,TRUE
Best books of 2016,Boston Globe,One of These Things First,Steven Gaines,2016,Non-Fiction,Male,White,FALSE,1946,FALSE
Best books of 2016,Boston Globe,Pit Bull: The Battle Over an American Icon,Bronwen Dickey,2016,Non-Fiction,Female,White,FALSE,1981,FALSE
Best books of 2016,Boston Globe,Shirley Jackson: A Rather Haunted Life,Ruth Franklin,2016,Non-Fiction,Female,White,FALSE,1974,TRUE
Best books of 2016,Boston Globe,The Song Poet: A Memoir of My Father,Kao Kalia Yang,2016,Non-Fiction,Female,Asian,FALSE,1980,FALSE
Best books of 2016,Boston Globe,Stamped From the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,2016,Non-Fiction,Male,Black,FALSE,1982,FALSE
Best books of 2016,Boston Globe,Time Travel: A History,James Gleick,2016,Non-Fiction,Male,White,FALSE,1954,FALSE
Best books of 2016,Boston Globe,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O’Neil,2016,Non-Fiction,Female,White,FALSE,1973,FALSE
Best books of 2016,Boston Globe,White Rage: The Unspoken Truth of Our Racial Divide,Carol Anderson,2016,Non-Fiction,Female,Black,FALSE,1939,FALSE
Best books of 2016,Boston Globe,Writing to Save a Life: The Louis Till File,John Edgar Wideman,2016,Non-Fiction,Male,Black,FALSE,1941,FALSE
Best books of 2016,Boston Globe,Rain Dogs,Adrian McKinty,2016,Fiction,Male,White,FALSE,1968,FALSE
Best books of 2016,Boston Globe,South Village,Rob Hart,2016,Fiction,Male,White,FALSE,1980,TRUE
Best books of 2016,Boston Globe,Silence of the Sea,Yrsa Sigurdardóttir,2016,Fiction,Female,White,FALSE,1963,FALSE
Best books of 2016,Boston Globe,So Say the Fallen,Stuart Neville,2016,Fiction,Male,White,FALSE,1972,FALSE
Best books of 2016,Boston Globe,Even Dogs in the Wild,Ian Rankin,2016,Fiction,Male,White,FALSE,1960,FALSE
Best books of 2016,Boston Globe,Wilde Lake,Laura Lippman,2016,Fiction,Female,White,FALSE,1959,FALSE
Best books of 2016,Boston Globe,The Darkest Secret,Alex Marwood,2016,Fiction,Female,White,FALSE,1960,TRUE
Best books of 2016,Boston Globe,Red Right Hand,Chris Holm,2016,Fiction,Male,White,FALSE,1977,FALSE
Best books of 2016,Boston Globe,Real Tigers,Mick Herron,2016,Fiction,Male,White,FALSE,1970,TRUE
Best books of 2016,Boston Globe,Let the Devil Out,Bill Loehfelm,2016,Fiction,Male,White,FALSE,1969,FALSE
Best books of 2016,Boston Globe,You Will Know Me,Megan Abbott,2016,Fiction,Female,White,FALSE,1971,FALSE
Best books of 2016,Boston Globe,Out of Bounds,Val McDermid,2016,Fiction,Female,White,FALSE,1955,FALSE
Best books of 2016,Boston Globe,The Ex: A Novel,Alafair Burke,2016,Fiction,Female,Mixed,FALSE,1969,FALSE
Best books of 2016,Boston Globe,The Sound of Silence,Katrina Goldsaito,2016,Fiction,Female,Mixed,FALSE,1979,FALSE
Best books of 2016,Boston Globe,Give and Take,Adam Grant,2013,Non-Fiction,Male,White,FALSE,1981,FALSE
Best books of 2016,Boston Globe,The Night Gardener,Terry Fan,2016,Fiction,Male,Asian,FALSE,1985,TRUE
Best books of 2016,Boston Globe,They All Saw a Cat,Brendan Wenzel,2016,Fiction,Male,White,FALSE,1982,TRUE
Best books of 2016,Boston Globe,Horrible Bear!,Ame Dyckman,2016,Fiction,Female,White,FALSE,1986,TRUE
Best books of 2016,Boston Globe,The Uncorker of Ocean Bottles,Michelle Cuevas,2016,Fiction,Female,White,TRUE,1982,TRUE
Best books of 2016,Boston Globe,What Color Is the Wind?,Anne Herbauts,2016,Fiction,Female,White,FALSE,1976,TRUE
Best books of 2016,Boston Globe,We Found a Hat,Jon Klassen,2016,Fiction,Male,White,FALSE,1981,FALSE
Best books of 2016,Boston Globe,School’s First Day of School,Adam Rex,2016,Fiction,Male,White,FALSE,1973,FALSE
Best books of 2016,Boston Globe,Jazz Day,Roxane Orgill,2016,Non-Fiction,Female,White,FALSE,1962,TRUE
Best books of 2016,Boston Globe,The Dead Bird,Margaret Wise Brown,1995,Fiction,Female,White,FALSE,1910,FALSE
Best books of 2016,Boston Globe,Thunder Boy Jr.,Sherman Alexie,2016,Fiction,Male,Native American,FALSE,1966,FALSE
Best books of 2016,Boston Globe,Du Iz Tak?,Carson Ellis,2016,Fiction,Female,White,FALSE,1975,FALSE
Best books of 2016,Boston Globe,The Not So Quiet Library,Zachariah OHora,2016,Fiction,Male,White,FALSE,1975,TRUE
Best books of 2016,Boston Globe,Grandad’s Island,Benji Davies,2015,Fiction,Male,White,FALSE,1980,FALSE
Best books of 2016,Boston Globe,You Negotiate Like a Girl: Reflections on a Career in the National Football League,Amy Trask,2016,Non-Fiction,Female,White,FALSE,1961,FALSE
Best books of 2016,Boston Globe,I’m Fascinated by Sacrifice Flies: Inside the Game We All Love,Tim Kurkjian,2016,Non-Fiction,Male,White,FALSE,1956,FALSE
Best books of 2016,Boston Globe,"Terror in the City of Champions: Murder, Baseball, and the Secret Society that Shocked Depression-era Detroit",Tom Stanton,2016,Non-Fiction,Male,White,FALSE,1960,FALSE
Best books of 2016,Boston Globe,Champion of the World,Chad Dundas,2016,Fiction,Male,White,FALSE,1969,TRUE
Best books of 2016,Boston Globe,The Only Rule Is It Has to Work: Our Wild Experiment Building a New Kind of Baseball Team,Ben Lindbergh,2016,Non-Fiction,Male,White,FALSE,1990,TRUE
Best books of 2016,Boston Globe,"Black Gods of the Asphalt: Religion, Hip-Hop, and Street Basketball",Onaje X.O. Woodbine,2016,Non-Fiction,Male,Black,FALSE,1980,TRUE
Best books of 2016,Boston Globe,The Games: A Global History of the Olympics,David Goldblatt,2016,Non-Fiction,Male,White,FALSE,1965,FALSE
Best books of 2016,Boston Globe,Unsportsmanlike Conduct: College Football and the Politics of Rape,Jessica Luther,2016,Non-Fiction,Female,White,FALSE,1980,TRUE
Best books of 2016,Boston Globe,The Domino Diaries: My Decade Boxing With Olympic Champions and Chasing Hemingway’s Ghost in the Last Days of Castro’s Cuba,Brin-Jonathan Butler,2015,Non-Fiction,Male,White,FALSE,1979,FALSE
Best books of 2016,Boston Globe,"Playing Through the Whistle: Steel, Football, and an American Town",S.L. Price,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
Best books of 2016,Boston Globe,"The Murder of Sonny Liston: Las Vegas, Heroin, and Heavyweights",Shaun Assael,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
Best books of 2016,Boston Globe,Writings on the Wall: Searching for a New Equality Beyond Black and White,Kareem Abdul-Jabbar,2016,Non-Fiction,Male,Black,FALSE,1947,FALSE
Best books of 2016,Boston Globe,"This Is Your Brain on Sports: The Science of Underdogs, the Value of Rivalry, and What We Can Learn From the T-Shirt Cannon",L. Jon Wertheim,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
Best books of 2016,Boston Globe,Odes,Sharon Olds,2016,Fiction,Female,White,FALSE,1942,FALSE
Best books of 2016,Boston Globe,Night,Etel Adnan,2016,Fiction,Female,White,FALSE,1925,FALSE
Best books of 2016,Boston Globe,"Blue Laws: Selected and Uncollected Poems, 1995-2015",Kevin Young,2016,Fiction,Male,Black,FALSE,1970,FALSE
Best books of 2016,Boston Globe,White Blight,Athena Farrokhzad,2015,Fiction,Female,White,FALSE,1983,FALSE
Best books of 2016,Boston Globe,The Black Maria,Aracelis Girmay,2016,Fiction,Female,Black,FALSE,1977,FALSE
Best books of 2016,Boston Globe,House of Lords and Commons,Ishion Hutchinson,2016,Fiction,Male,Black,FALSE,1983,FALSE
Best books of 2016,Boston Globe,Olio,Tyehimba Jess,2016,Fiction,Male,Black,FALSE,1968,TRUE
Best books of 2016,Boston Globe,The Little Edges,Fred Moten,2014,Fiction,Male,Black,FALSE,1962,FALSE
Best books of 2016,Boston Globe,Look,Solmaz Sharif,2016,Fiction,Female,White,FALSE,1986,FALSE
Best books of 2016,Boston Globe,Night Sky With Exit Wounds,Ocean Vuong,2016,Fiction,Male,Asian,FALSE,1988,FALSE
The Top 10 Nonfiction Books,Time,Girls and Sex,Peggy Orenstein,2016,Non-Fiction,Female,White,FALSE,1961,FALSE
